PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,DOI,FCD sample size >200 ,Notes on Location information,Include
21039168,Surgical outcome for focal cortical dysplasia: an analysis of recent surgical series,"Chern JJ, Patel AJ, Jea A, Curry DJ, Comair YG.",J Neurosurg Pediatr. 2010 Nov;6(5):452-8. doi: 10.3171/2010.8.PEDS10145.,Chern JJ,J Neurosurg Pediatr,2010,10.3171/2010.8.PEDS10145,y,Meta-analysis. Compares temporal to extra-temporal FCD resections. Temporal lobe resection = beter prognostic factor. ,y
20659869,Type I focal cortical dysplasia: surgical outcome is related to histopathology,"Tassi L, Garbelli R, Colombo N, Bramerio M, Lo Russo G, Deleo F, Milesi G, Spreafico R.",Epileptic Disord. 2010 Sep;12(3):181-91. doi: 10.1684/epd.2010.0327. Epub 2010 Jul 27.,Tassi L,Epileptic Disord,2010,10.1684/epd.2010.0327,y,Paper restricted to FCD I. Reports seizure freedom according to lobe resected. Temporal lobe resection = better outcome.,y
30911833,Predictors of seizure recurrence in patients with surgery for focal cortical dysplasia: pairwise and network meta-analysis and trial sequential analysis,"Chen J, Chen X, Huang C, Zhu H, Hou Z, An N, Liu SY, Yang H, Zhang CQ.",Childs Nerv Syst. 2019 May;35(5):753-767. doi: 10.1007/s00381-019-04124-0. Epub 2019 Mar 26.,Chen J,Childs Nerv Syst,2019,10.1007/s00381-019-04124-0,y,Meta-analysis. Temporal vs extratemporal resection. Extra-temporal associated with worse outcome,y
32822635,Seizure outcome and use of antiepileptic drugs after epilepsy surgery according to histopathological diagnosis: a retrospective multicentre cohort study,"Lamberink HJ, Otte WM, BlÙmcke I, Braun KPJ; European Epilepsy Brain Bank writing group; study group; European Reference Network EpiCARE.",Lancet Neurol. 2020 Sep;19(9):748-757. doi: 10.1016/S1474-4422(20)30220-9.,Lamberink HJ,Lancet Neurol,2020,10.1016/S1474-4422(20)30220-9,y,Multicentre cohort study. Lobar analysis. Temporal lobe associated with better outcome.,y
22324422,A meta-analysis of predictors of seizure freedom in the surgical management of focal cortical dysplasia,"Rowland NC, Englot DJ, Cage TA, Sughrue ME, Barbaro NM, Chang EF.",J Neurosurg. 2012 May;116(5):1035-41. doi: 10.3171/2012.1.JNS111105. Epub 2012 Feb 10.,Rowland NC,J Neurosurg,2012,10.3171/2012.1.JNS111105,y,Meta-analysis. Compares temporal to extra-temporal FCD resections. temporal location = beter prognostic factor. ,y
30173613,Preoperative evaluation and surgical management of infants and toddlers with drug-resistant epilepsy,"Pindrik J, Hoang N, Smith L, Halverson M, Wojnaroski M, McNally K, Gedela S, Ostendorf AP.",Neurosurg Focus. 2018 Sep;45(3):E3. doi: 10.3171/2018.7.FOCUS18220.,Pindrik J,Neurosurg Focus,2018,10.3171/2018.7.FOCUS18220,y,Meta-analysis. Paper includes 220 MCD patients - does not specify how many had FCD. Does not look at effect of lobe operated on outcome.,n
32860416,Focal Cortical Dysplasia IIIa in Hippocampal Sclerosis-Associated Epilepsy: Anatomo-Electro-Clinical Profile and Surgical Results From a Multicentric Retrospective Study,"Cossu M, d'Orio P, Barba C, Asioli S, Cardinale F, Casciato S, Caulo M, Colicchio G, Consales A, D'Aniello A, De Benedictis A, De Palma L, Didato G, Di Gennaro G, Di Giacomo R, Esposito V, Guerrini R, Nichelatti M, Revay M, Rizzi M, Vatti G, Villani F, Zamponi N, Tassi L, Marras CE.",Neurosurgery. 2020 Aug 29:nyaa369. doi: 10.1093/neuros/nyaa369. Online ahead of print.,Cossu M,Neurosurgery,2020,10.1093/neuros/nyaa369,y,All resections were temporal (comparison of FCD IIIa and HS),n
28322853,The role of histopathologic subtype in the setting of hippocampal sclerosis-associated mesial temporal lobe epilepsy,"Gales JM, Jehi L, Nowacki A, Prayson RA.",Hum Pathol. 2017 May;63:79-88. doi: 10.1016/j.humpath.2017.02.013. Epub 2017 Mar 18.,Gales JM,Hum Pathol,2017,10.1016/j.humpath.2017.02.013,y,All resections were temporal (comparison of FCD IIIa and HS),n
30577071,Differences in pediatric and adult epilepsy surgery: A comparison at one center from 1990 to 2014,"Cloppenborg T, May TW, BlÙmcke I, Fauser S, Grewe P, Hopf JL, Kalbhenn T, Polster T, Schulz R, Woermann FG, Bien CG.",Epilepsia. 2019 Feb;60(2):233-245. doi: 10.1111/epi.14627. Epub 2018 Dec 21.,Cloppenborg T,Epilepsia,2019,10.1111/epi.14627,y,"Compares seizure freedom in temporal, extra-temporal & multilobar groups. Does not examine effect of location of resection on outcome in FCD specifically",n
27707870,Trends in epilepsy surgery: stable surgical numbers despite increasing presurgical volumes,"Cloppenborg T, May TW, BlÙmcke I, Grewe P, Hopf LJ, Kalbhenn T, Pf_fflin M, Polster T, Schulz R, Woermann FG, Bien CG.",J Neurol Neurosurg Psychiatry. 2016 Dec;87(12):1322-1329. doi: 10.1136/jnnp-2016-313831. Epub 2016 Oct 5.,Cloppenborg T,J Neurol Neurosurg Psychiatry,2016,10.1136/jnnp-2016-313831,y,Compares seizure freedom in over time in different pathologies. Does not examine lesion location.,n
